0315;0220
Bounds;296.367967;48.843551;296.818455;49.300253
Aperture;14;1;3
Background photometric window
DATE_OBS     ;NAME                     ;FILTER;CATRA     ;CATDEC    ;IMGRA     ;IMGDEC    ;IMGX    ;IMGY    ;R2mag ;BKGROUND;BGSTDDEV;BGRJCT;PSF_A    ;PSF_SIGMAX;PSF_SIGMAY;PSF_THETA;PSF_MAD     ;FLUX14   ;SNR14   ;FLAG
2457266.62294;3UCAC278-156392          ;V     ;296.450945; 48.891592;296.450947; 48.891559;1338.862; 218.624;10.772;472.2014;24.11446;0.2528;0.0201395;3.82767724;2.96514042;82.579730;9.31768E-003;40674.933;112.7291;0000
2457266.62294;3UCAC278-156301          ;V     ;296.392664; 48.901889;296.392636; 48.901842;1307.347;  97.611;10.820;470.7036;24.11446;0.2528;0.0278812;3.84125324;3.04943608;82.149051;8.47976E-003;58364.798;151.7731;0000
2457266.62294;3UCAC279-155855          ;V     ;296.605387; 49.210882;296.605373; 49.210840; 329.771; 528.828;10.822;479.7022;24.11446;0.2528;0.0132944;4.05925390;3.72763287;72.810458;1.13993E-002;34486.534;97.93414;0000
2457266.62294;3UCAC279-155628          ;V     ;296.470325; 49.042491;296.470335; 49.042530; 862.722; 255.054;10.826;473.7017;24.11446;0.2528;0.0169710;3.67829497;3.02872909;80.935618;9.98720E-003;34067.191;96.90729;0000
2457266.62294;3UCAC279-155986          ;V     ;296.683747; 49.180178;296.683717; 49.180134; 424.879; 691.106;10.872;478.0225;24.11446;0.2528;0.0270204;3.93273509;3.50510874;71.037237;8.25906E-003;64330.921;164.0118;0000
2457266.62294;3UCAC278-156473          ;V     ;296.490485; 48.905995;296.490561; 48.906000;1292.688; 300.313;10.876;472.9471;24.11446;0.2528;0.0259909;3.65959968;2.79659150;83.523699;8.54372E-003;48211.021;129.9082;0000
2457266.62294;3UCAC278-156664          ;V     ;296.605086; 48.925387;296.605122; 48.925446;1229.248; 536.965;11.078;473.8761;24.11446;0.2528;0.0182990;3.73523655;2.79417758;75.013767;9.54969E-003;33968.976;96.66633;0000
2457266.62294;3UCAC279-155913          ;V     ;296.640011; 49.196062;296.640017; 49.196016; 375.773; 600.604;11.078;478.8020;24.11446;0.2528;0.0116893;3.98945399;3.66275948;63.121890;1.34299E-002;29193.020;84.72996;0000
2457266.62294;3UCAC278-156354          ;V     ;296.425689; 48.877373;296.425667; 48.877321;1384.136; 166.581;11.085;471.1384;24.11446;0.2528;0.0153347;3.98362952;3.08066008;84.736076;1.12591E-002;33332.850;95.10136;0000
2457266.62294;3UCAC279-156035          ;V     ;296.706987; 49.064808;296.707009; 49.064815; 787.794; 743.058;11.089;475.1866;24.11446;0.2528;0.0423214;3.68828243;3.02027008;71.861129;6.40466E-003;83267.328;200.3196;0000
