0315;0220
Bounds;294.624621;28.319979;294.962372;28.777930
Aperture;14;1;3
Background photometric window
DATE_OBS     ;NAME                     ;FILTER;CATRA     ;CATDEC    ;IMGRA     ;IMGDEC    ;IMGX    ;IMGY    ;R2mag ;BKGROUND;BGSTDDEV;BGRJCT;PSF_A    ;PSF_SIGMAX;PSF_SIGMAY;PSF_THETA;PSF_MAD     ;FLUX14   ;SNR14   ;FLAG
2457266.64763;3UCAC238-196762          ;V     ;294.686391; 28.516208;294.682012; 28.509068; 637.369; 203.454;11.416;559.1826;26.00155;0.5411;0.0018499;4.23781036;2.86557324;88.896900;8.06882E-002;3370.5851;10.28281;0004
2457266.64763;3UCAC238-197326          ;V     ;294.763193; 28.712722;294.767581; 28.711233;1277.046; 433.552;11.456;557.9371;26.00155;0.5411;0.0017998;3.20801896;0.55826456;81.701918;6.10384E-002; 0.000000; 0.00000;0008
2457266.64763;3UCAC237-203847          ;V     ;294.791048; 28.472387;294.793436; 28.472413; 525.093; 513.308;11.476;560.6803;26.00155;0.5411;0.0530097;3.85042421;3.08159000;85.512649;4.98749E-003;102852.55;226.1030;0000
2457266.64763;3UCAC238-198069          ;V     ;294.871994; 28.630233;294.872341; 28.630383;1025.471; 726.093;11.476;558.1268;26.00155;0.5411;0.0005200;2.83369130;1.85233818;23.918791;2.29102E-001;179.14910; 0.55484;000a
2457266.64763;3UCAC238-196459          ;V     ;294.650398; 28.693092;294.652246; 28.693876;1219.051; 115.288;11.492;555.7053;26.00155;0.5411;0.0013345;4.04000343;2.55331802;77.789177;8.58877E-002;1752.0589; 5.38581;0008
2457266.64763;3UCAC237-203144          ;V     ;294.694496; 28.444096;294.695079; 28.444990; 435.768; 241.700;11.514;561.4868;26.00155;0.5411;0.0012521;1.62012198;1.25483301;94.535556;9.14959E-002;943.59287; 2.91174;0008
2457266.64763;3UCAC238-197234          ;V     ;294.751307; 28.623890;294.750452; 28.621764; 994.540; 389.210;11.575;557.8191;26.00155;0.5411;0.0003419;1.34387671;0.00588460; 0.052503;3.51723E-001; 0.000000; 0.00000;0008
2457266.64763;3UCAC237-203755          ;V     ;294.780578; 28.483979;294.780278; 28.484613; 563.146; 476.434;11.598;560.2221;26.00155;0.5411;0.0006155;5.58129043;1.08606163;100.14142;2.00319E-001;150.37647; 0.46579;0008
2457266.64763;3UCAC238-196556          ;V     ;294.662597; 28.519543;294.664676; 28.521028; 674.585; 155.067;11.599;558.6120;26.00155;0.5411;0.0004263;4.84722051;2.81556880;82.996039;2.67080E-001;653.80916; 2.02031;0008
2457266.64763;3UCAC238-197180          ;V     ;294.743845; 28.714552;294.746551; 28.715452;1289.724; 375.280;11.603;557.7496;26.00155;0.5411;0.0003336;7.94196045;2.91309147;83.707133;3.63465E-001;861.93812; 2.66080;0008
2457266.64763;3UCAC238-196788          ;V     ;294.689876; 28.659342;294.687844; 28.660711;1115.501; 214.761;11.605;557.3886;26.00155;0.5411;0.0015393;0.72855959;0.37557416;89.730222;7.81171E-002; 0.000000; 0.00000;0008
2457266.64763;3UCAC238-198669          ;V     ;294.956034; 28.728202;294.957329; 28.728307;1336.944; 957.366;11.741;554.3806;26.00155;0.5411;0.0011082;2.37050494;0.77396948;98.213617;1.03750E-001; 4.968199; 0.01540;0008
2457266.64763;3UCAC238-197939          ;V     ;294.852250; 28.740224;294.854738; 28.739633;1369.251; 673.430;11.751;556.8825;26.00155;0.5411;0.0006598;6.11594513;2.53223510;25.792185;2.14786E-001;2259.7392; 6.92981;0008
2457266.64763;3UCAC237-202494          ;V     ;294.624836; 28.492963;294.624244; 28.492361; 583.135;  43.973;11.754;557.1512;26.00155;0.5411;0.0012508;4.42059715;3.26167631;93.480261;1.07351E-001;3716.7336;11.32060;0002
2457266.64763;3UCAC238-198149          ;V     ;294.884740; 28.695400;294.885574; 28.699483;1243.695; 760.132;11.754;557.4173;26.00155;0.5411;0.0011618;3.74577079;1.79392217;73.477416;9.97532E-002;1593.8771; 4.90323;0008
2457266.64763;3UCAC238-196669          ;V     ;294.675597; 28.613684;294.678625; 28.613241; 965.621; 190.771;11.782;557.4822;26.00155;0.5411;0.0034379;3.79052981;2.87462490;97.299959;3.48957E-002;5649.4933;17.05527;0000
2457266.64763;3UCAC237-203077          ;V     ;294.687986; 28.450852;294.689408; 28.449744; 450.594; 225.832;11.810;561.2080;26.00155;0.5411;0.0001883;12.3109405;8.01926579;112.27934;6.19820E-001;384.08437; 1.18838;0008
2457266.64763;3UCAC238-198510          ;V     ;294.935211; 28.513070;294.940547; 28.509759; 647.540; 919.417;11.850;559.0272;26.00155;0.5411;0.0005140;3.49290827;2.51917124;30.203654;2.53849E-001;1479.4483; 4.55368;000a
2457266.64763;3UCAC238-197451          ;V     ;294.781875; 28.651406;294.785303; 28.650140;1085.021; 484.644;11.906;557.9860;26.00155;0.5411;0.0030294;3.07363140;0.62138213;89.209010;3.89607E-002;111.45624; 0.34530;0008
2457266.64763;3UCAC237-203469          ;V     ;294.738449; 28.482114;294.740961; 28.483553; 558.636; 367.560;11.920;560.1336;26.00155;0.5411;0.0003887;4.09107106;2.03422087;60.474206;3.12434E-001; 0.000000; 0.00000;0008
2457266.64763;3UCAC237-204788          ;V     ;294.928505; 28.398164;294.930023; 28.399882; 300.870; 894.481;11.944;563.0375;26.00155;0.5411;0.0005887;4.44762585;2.86109650;95.992943;2.08165E-001;871.89326; 2.69141;0009
2457266.64763;3UCAC237-204031          ;V     ;294.817137; 28.364322;294.815784; 28.365242; 187.990; 579.002;11.950;569.2472;26.00155;0.5411;0.0107419;1.58300151;0.48923429;86.275099;1.00951E-002; 0.000000; 0.00000;0008
2457266.64763;3UCAC237-203725          ;V     ;294.777383; 28.437969;294.776526; 28.436187; 410.401; 467.702;11.961;562.2226;26.00155;0.5411;0.0006144;5.09996807;3.08975179;86.822748;1.98329E-001;1482.5188; 4.56306;0008
2457266.64763;3UCAC237-202905          ;V     ;294.670034; 28.362899;294.672867; 28.362185; 174.151; 182.760;11.969;568.9094;26.00155;0.5411;0.0004874;11.8678110;5.39261131;47.287391;2.45017E-001;3978.7796;12.10405;0001
2457266.64763;3UCAC238-197622          ;V     ;294.807161; 28.737337;294.806462; 28.735603;1355.039; 540.168;12.064;557.5538;26.00155;0.5411;0.0003448;3.87836065;1.54871466;131.89273;3.42022E-001; 0.000000; 0.00000;0008
2457266.64763;3UCAC238-197838          ;V     ;294.837546; 28.634457;294.840402; 28.636904;1045.004; 637.509;12.189;558.1702;26.00155;0.5411;0.0024625;3.23123283;0.74088055;92.726174;4.78603E-002; 0.000000; 0.00000;0008
2457266.64763;3UCAC237-202929          ;V     ;294.672395; 28.473721;294.672858; 28.473216; 524.112; 179.233;12.215;560.0545;26.00155;0.5411;0.0004794;3.48290519;1.46872546;124.86623;2.18430E-001;17.245018; 0.05345;0008
2457266.64763;3UCAC238-198385          ;V     ;294.916444; 28.503324;294.915081; 28.504307; 629.499; 849.098;12.219;559.4026;26.00155;0.5411;0.0023786;0.72339204;0.41473809;89.704714;4.79366E-002;277.10267; 0.85781;0008
2457266.64763;3UCAC237-202638          ;V     ;294.640816; 28.476774;294.642633; 28.479626; 543.489;  95.299;12.234;558.7946;26.00155;0.5411;0.0051481;4.23953087;3.26511654;98.740090;2.57683E-002;11663.458;34.28383;0000
2457266.64763;3UCAC237-203408          ;V     ;294.729176; 28.458317;294.728699; 28.456554; 473.178; 334.485;12.269;561.1126;26.00155;0.5411;0.0009259;3.91621517;2.46359400;106.24797;1.33168E-001;1263.3653; 3.89257;000a
2457266.64763;3UCAC238-198283          ;V     ;294.902527; 28.745455;294.903708; 28.745467;1389.225; 808.531;12.271;555.0995;26.00155;0.5411;0.0042141;4.74760937;0.32191180;62.729810;2.77561E-002;981.27256; 3.02747;000a
2457266.64763;3UCAC237-203953          ;V     ;294.805535; 28.399968;294.807181; 28.399104; 294.453; 553.957;12.325;564.9757;26.00155;0.5411;0.0002000;7.95960511;1.82778181;90.005040;5.59970E-001; 0.000000; 0.00000;000a
2457266.64763;3UCAC238-198148          ;V     ;294.884420; 28.668801;294.882908; 28.667592;1143.091; 753.944;12.369;557.8230;26.00155;0.5411;0.0002750;13.0360291;2.15733813;75.345944;4.67265E-001;777.94068; 2.40247;0008
2457266.64763;3UCAC238-198474          ;V     ;294.929746; 28.620675;294.934221; 28.620580; 996.618; 897.641;12.423;557.6768;26.00155;0.5411;0.0010951;3.11023908;2.88253658;97.387482;1.02062E-001;659.06965; 2.03652;000a
2457266.64763;3UCAC238-197930          ;V     ;294.851141; 28.748673;294.853443; 28.748075;1395.816; 669.545;12.433;556.4812;26.00155;0.5411;0.0000000;4.31952237;1.81965131; 0.283781;2.59474E+006; 0.000000; 0.00000;0008
2457266.64763;3UCAC238-198379          ;V     ;294.914502; 28.508113;294.914812; 28.511220; 651.281; 848.092;12.465;559.2893;26.00155;0.5411;0.0026784;3.79072813;2.64760352;83.205043;5.07890E-002;5161.4071;15.61656;0001
2457266.64763;3UCAC238-198199          ;V     ;294.891329; 28.758408;294.892352; 28.758736;1430.677; 776.659;12.482;554.5108;26.00155;0.5411;0.0003405;6.23917472;2.65344738;49.915312;3.54237E-001;62.485422; 0.19363;0008
2457266.64763;3UCAC237-204139          ;V     ;294.832242; 28.492609;294.832089; 28.493518; 592.810; 619.637;12.535;560.1616;26.00155;0.5411;0.0002175;0.42036943;0.00456659;89.804042;5.59253E-001; 0.000000; 0.00000;000a
2457266.64763;3UCAC237-202538          ;V     ;294.629524; 28.391389;294.630541; 28.390025; 260.747;  64.527;12.541;562.7395;26.00155;0.5411;0.0002910;1.81344784;0.05712599; 0.109535;3.56309E-001; 0.000000; 0.00000;0008
2457266.64763;3UCAC238-198107          ;V     ;294.877929; 28.644180;294.874454; 28.642221;1062.851; 731.500;12.541;558.0500;26.00155;0.5411;0.0047146;0.72986378;0.41897058;179.49051;2.34694E-002;20.036803; 0.06210;0008
2457266.64763;3UCAC237-204157          ;V     ;294.836400; 28.394820;294.839211; 28.399140; 295.565; 642.751;12.548;564.8387;26.00155;0.5411;0.0007995;4.78478222;3.86181700;119.00597;1.48628E-001;2530.4443; 7.75011;0008
2457266.64763;3UCAC238-198501          ;V     ;294.933826; 28.615824;294.935485; 28.616614; 984.159; 901.291;12.555;557.7153;26.00155;0.5411;0.0003366;5.08237038;1.21306235;152.34002;3.35661E-001; 0.000000; 0.00000;000a
2457266.64763;3UCAC238-196955          ;V     ;294.714335; 28.546508;294.713706; 28.544848; 751.041; 290.061;12.556;558.5719;26.00155;0.5411;0.0298199;0.77894438;0.50104757; 8.667282;3.86875E-003; 0.000000; 0.00000;0008
2457266.64763;3UCAC238-198153          ;V     ;294.885104; 28.628780;294.887180; 28.628322;1019.458; 767.218;12.563;558.0424;26.00155;0.5411;0.0045835;3.67207558;2.68492956;74.957736;2.57825E-002;6624.5384;19.91056;0000
2457266.64763;3UCAC237-203383          ;V     ;294.725979; 28.470061;294.726477; 28.473029; 525.044; 327.783;12.605;560.4638;26.00155;0.5411;0.0047598;3.95857637;3.17637955;89.844028;2.89930E-002;10169.218;30.08647;0000
2457266.64763;3UCAC238-197460          ;V     ;294.783607; 28.564506;294.782899; 28.563067; 810.505; 480.993;12.617;558.4610;26.00155;0.5411;0.0306768;1.86476212;0.21192187;15.920806;3.79756E-003; 0.000000; 0.00000;0008
