0315;0220
Bounds;297.851805;55.123320;298.369773;55.578502
Aperture;12;1;3
Background photometric window
DATE_OBS     ;NAME                     ;FILTER;CATRA     ;CATDEC    ;IMGRA     ;IMGDEC    ;IMGX    ;IMGY    ;R1mag ;BKGROUND;BGSTDDEV;BGRJCT;PSF_A    ;PSF_SIGMAX;PSF_SIGMAY;PSF_THETA;PSF_MAD     ;FLUX12   ;SNR12   ;FLAG
2457266.63581;USNO 1452-0296313        ;I     ;298.256692; 55.295148;298.256591; 55.295203; 935.195; 775.183;11.990;414.9531;23.01716;0.1644;0.0127347;4.34574088;3.51099019;61.991878;1.30644E-002;32652.035;107.3187;0000
2457266.63581;USNO 1452-0296212        ;I     ;298.194898; 55.224089;298.194849; 55.224050;1161.047; 666.713;12.090;415.6862;23.01716;0.1644;0.0127684;4.42886005;3.39221829;65.699859;1.19043E-002;32608.464;107.2007;0000
2457266.63581;USNO 1452-0296370        ;I     ;298.287256; 55.199991;298.287095; 55.200023;1234.994; 833.708;12.110;414.2857;23.01716;0.1644;0.0079998;4.72672720;3.33268643;60.814708;1.70638E-002;21493.950;75.33082;0000
2457266.63581;USNO 1452-0296337        ;I     ;298.269106; 55.290587;298.268993; 55.290582; 949.519; 797.645;12.210;416.9631;23.01716;0.1644;0.0076613;4.29849463;3.42551417;61.625321;1.72758E-002;19255.547;68.43312;0000
2457266.63581;USNO 1451-0297512        ;I     ;298.250634; 55.177845;298.250551; 55.177782;1305.980; 768.714;12.220;414.4156;23.01716;0.1644;0.0101970;4.66414394;3.37047954;64.042601;1.38306E-002;27343.626;92.56460;0000
2457266.63581;USNO 1452-0296485        ;I     ;298.359115; 55.270450;298.358886; 55.270438;1011.090; 960.045;12.240;415.5078;23.01716;0.1644;0.0056228;4.36013177;3.57305386;59.251258;2.47955E-002;15374.833;56.03174;0000
2457266.63581;USNO 1454-0300512        ;I     ;298.276370; 55.418887;298.276301; 55.418785; 544.674; 805.843;12.270;415.8715;23.01716;0.1644;0.0078892;4.42086129;3.69845513;57.953935;1.90096E-002;22017.561;76.91898;0000
2457266.63581;USNO 1453-0297510        ;I     ;297.875420; 55.370698;297.875388; 55.370687; 703.020;  88.638;12.300;413.7609;23.01716;0.1644;0.0066472;4.30680798;3.95482586;75.926701;2.00304E-002;19222.782;68.33081;0000
2457266.63581;USNO 1453-0297676        ;I     ;297.981869; 55.304307;297.981813; 55.304253; 911.411; 281.191;12.310;413.9526;23.01716;0.1644;0.0087839;4.19601387;3.63160150;62.030341;1.59821E-002;22745.007;79.10993;0000
2457266.63581;USNO 1452-0296232        ;I     ;298.207885; 55.297322;298.207735; 55.297238; 929.764; 687.321;12.400;412.9862;23.01716;0.1644;0.0062464;4.08456482;3.39385306;58.212972;2.18211E-002;15184.787;55.40912;0001
2457266.63581;USNO 1453-0298274        ;I     ;298.366734; 55.325831;298.366859; 55.325880; 835.892; 972.018;12.470;416.9793;23.01716;0.1644;0.0047354;4.23737407;3.31217188;57.823310;4.10139E-002;12365.553;45.99328;0001
2457266.63581;USNO 1453-0297810        ;I     ;298.071119; 55.349941;298.071456; 55.349917; 765.915; 440.907;12.610;414.1488;23.01716;0.1644;0.0052473;4.46367066;3.76896161;61.591231;2.22451E-002;14690.198;53.78175;0000
2457266.63581;USNO 1453-0298193        ;I     ;298.320325; 55.307298;298.320219; 55.307284; 895.673; 889.029;12.670;413.0544;23.01716;0.1644;0.0055600;4.36993293;3.50289070;56.115266;2.31624E-002;14844.306;54.28991;0000
2457266.63581;USNO 1452-0296226        ;I     ;298.203231; 55.282042;298.203501; 55.282061; 977.755; 680.246;12.710;414.6975;23.01716;0.1644;0.0039726;4.50529182;3.38972989;63.776953;3.06987E-002;10223.760;38.60316;0000
2457266.63581;USNO 1453-0298083        ;I     ;298.258350; 55.331734;298.258211; 55.331716; 819.902; 776.718;12.750;414.9559;23.01716;0.1644;0.0053457;4.47260542;3.56013649;59.484806;2.21673E-002;14291.890;52.46375;0000
2457266.63581;USNO 1451-0297304        ;I     ;298.121962; 55.195533;298.122059; 55.195521;1252.450; 536.579;12.750;414.1394;23.01716;0.1644;0.0017722;4.66203948;3.11657609;61.263260;6.17132E-002;4691.1812;18.45592;0000
2457266.63581;USNO 1452-0296099        ;I     ;298.123298; 55.260698;298.122882; 55.260798;1046.374; 536.001;12.780;413.7023;23.01716;0.1644;0.0002797;7.61254556;4.44969379;88.471823;3.59682E-001;1374.1755; 5.55061;0008
2457266.63581;USNO 1452-0296306        ;I     ;298.249492; 55.285365;298.249340; 55.285390; 966.323; 762.519;12.840;414.4656;23.01716;0.1644;0.0047562;4.31333814;3.43490169;67.009857;2.53662E-002;11449.634;42.85895;0000
2457266.63581;USNO 1455-0301400        ;I     ;298.105231; 55.523250;298.105538; 55.523114; 218.614; 496.738;12.850;423.2309;23.01716;0.1644;0.0035961;4.64835556;4.36964643;34.058450;3.29345E-002;12192.182;45.40291;0001
2457266.63581;USNO 1453-0297770        ;I     ;298.047781; 55.341331;298.047764; 55.341255; 793.634; 398.635;12.870;413.2283;23.01716;0.1644;0.0050480;4.35462664;3.79323237;59.908379;2.37195E-002;13888.540;51.12222;0000
2457266.63581;USNO 1453-0298038        ;I     ;298.228487; 55.343164;298.228485; 55.343097; 784.589; 722.938;12.900;414.4504;23.01716;0.1644;0.0046834;4.29768765;3.68630207;56.108198;2.51473E-002;12363.297;45.98561;0000
2457266.63581;USNO 1453-0297709        ;I     ;298.006618; 55.322898;298.006606; 55.322834; 852.404; 325.245;12.930;415.6802;23.01716;0.1644;0.0045833;4.10667733;3.61166973;74.162183;2.65184E-002;11369.213;42.58191;0000
2457266.63581;USNO 1452-0296274        ;I     ;298.236264; 55.246162;298.236108; 55.246217;1090.252; 740.175;12.930;413.6052;23.01716;0.1644;0.0041049;4.18449244;3.26759065;67.464499;2.81845E-002;9447.4270;35.87093;0001
2457266.63581;USNO 1455-0301164        ;I     ;297.958584; 55.518509;297.958574; 55.518393; 235.730; 234.278;12.930;421.8684;23.01716;0.1644;0.0033545;4.67742180;4.55985326;40.492893;3.25955E-002;11358.165;42.54383;0001
2457266.63581;USNO 1452-0296010        ;I     ;298.069862; 55.275467;298.069959; 55.275395;1001.185; 440.393;12.940;412.8707;23.01716;0.1644;0.0047154;4.20084646;3.51264053;65.042101;2.70658E-002;11809.466;44.09487;0000
2457266.63581;USNO 1452-0295914        ;I     ;298.020380; 55.226012;298.020451; 55.226001;1157.878; 352.712;12.970;414.3182;23.01716;0.1644;0.0044540;4.25443722;3.52347547;64.994551;2.69258E-002;11623.029;43.45526;0000
2457266.63581;USNO 1454-0300079        ;I     ;297.993412; 55.459125;297.993154; 55.458987; 422.793; 297.593;12.980;417.6974;23.01716;0.1644;0.0021240;6.30994638;4.25586732;70.684957;5.55018E-002;8789.5487;33.53242;0000
2457266.63581;USNO 1453-0297553        ;I     ;297.906272; 55.366936;297.906262; 55.366849; 714.783; 144.096;13.040;413.6825;23.01716;0.1644;0.0039525;4.49378092;3.79688584;65.520313;2.96865E-002;11407.271;42.71305;0000
