Primary target: NGC 7790
Exposure time: 120 s
Filter: I
Observation date/time: 2015-08-25 03:36:04
JD: 2457259.65005
Decimal date: 2015-08-25.15005
R.A.: 23:58:33.91
Dec.: 61:13:15.11
Airmass: 1.4488
Calibration: BDF
Apeture radius: 5 pixels
File name: 635764995713153984.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	I-mag	Target estimate	Active		
145_3	-4.591	 56	907.591	428.611	 311	1.445	0.442	13.961	18.552	True		
145_4	-4.689	 72	601.830	468.515	 311	1.445	0.470	13.873	18.562	True		
145_5	-5.682	 126	800.228	510.059	 314	1.446	1.496	12.863	18.545	True		
145_6	-4.711	 69	858.697	517.777	 314	1.446	0.479	13.857	18.568	True		
145_7	-4.730	 77	672.341	602.740	 311	1.446	0.552	13.807	18.537	True		
146	-4.850	 71	565.582	403.120	 309	1.445	0.805	13.703	18.553	True		
146_1	-5.514	 114	749.877	405.473	 312	1.445	1.434	13.027	18.541	True		
146_2	-4.511	 52	803.973	408.474	 315	1.445	0.435	14.051	18.562	True		
146_3	-5.023	 86	975.394	427.672	 311	1.445	0.973	13.528	18.551	True		
146_4	-4.617	 45	814.232	497.879	 314	1.446	0.439	13.984	18.601	True		
146_5	-5.356	 109	642.511	647.213	 309	1.447	1.324	13.199	18.555	True		
147	-5.217	 97	735.153	393.543	 309	1.445	1.294	13.318	18.535	True		
147_1	-4.483	 54	992.076	429.776	 311	1.445	0.530	14.097	18.580	True		
147_2	-4.822	 49	820.672	452.207	 313	1.445	0.839	13.719	18.541	True		
147_3	-4.458	 49	842.292	537.674	 312	1.446	0.460	14.082	18.540	True		
147_4	-5.508	 110	737.935	765.856	 312	1.448	1.626	13.002	18.510	True		
148	-4.732	 58	701.800	344.088	 310	1.444	0.707	13.892	18.624	True		
148_1	-4.590	 57	661.561	539.847	 309	1.446	0.722	13.968	18.558	True		
148_2	-4.764	 72	1 052.627	575.114	 309	1.446	0.831	13.807	18.571	True		
148_3	-4.407	 52	835.711	713.601	 307	1.447	0.498	14.177	18.584	True		
