Primary target: NGC 7790
Exposure time: 60 s
Filter: B
Observation date/time: 2015-08-25 03:23:06
JD: 2457259.64104
Decimal date: 2015-08-25.14104
R.A.: 23:58:33.11
Dec.: 61:13:13.47
Airmass: 1.4930
Calibration: BDF
Apeture radius: 5 pixels
File name: 635764995654053984.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	B-mag	Target estimate	Active		
145_3	-3.664	 19	905.972	433.375	 155	1.487	0.442	15.022	18.686	True		
145_4	-3.702	 20	599.510	473.409	 155	1.487	0.470	15.004	18.706	True		
145_5	-2.309	 5	798.662	514.609	 156	1.488	1.496	16.082	18.391	True		
145_6	-3.657	 19	857.227	522.637	 157	1.488	0.479	15.004	18.661	True		
145_7	-3.652	 20	670.360	607.655	 156	1.489	0.552	15.066	18.718	True		
146	-3.028	 10	563.487	407.988	 156	1.487	0.805	15.473	18.501	True		
146_1	-2.656	 7	748.489	410.656	 155	1.487	1.434	16.056	18.712	True		
146_2	-3.668	 17	801.702	413.663	 156	1.487	0.435	15.078	18.746	True		
146_3	-3.032	 10	973.950	432.443	 157	1.487	0.973	15.620	18.652	True		
146_4	-3.802	 18	812.724	502.222	 156	1.488	0.439	15.043	18.845	True		
146_5	-2.859	 9	641.022	652.639	 154	1.489	1.324	15.969	18.828	True		
147	-2.782	 9	733.680	398.219	 154	1.487	1.294	16.048	18.830	True		
147_1	-3.466	 15	990.428	434.604	 154	1.487	0.530	15.269	18.735	True		
147_2	-2.929	 9	819.193	457.107	 157	1.487	0.839	15.568	18.497	True		
147_3	-3.571	 17	840.659	542.744	 156	1.488	0.460	15.179	18.750	True		
147_4	-2.402	 6	736.112	770.897	 154	1.490	1.626	16.384	18.786	True		
148	-3.093	 9	700.160	349.150	 156	1.486	0.707	15.544	18.637	True		
148_1	-3.152	 11	659.798	544.426	 154	1.488	0.722	15.617	18.769	True		
148_2	-3.151	 12	1 050.703	580.131	 156	1.489	0.831	15.655	18.806	True		
148_3	-3.308	 14	834.357	718.547	 154	1.490	0.498	15.352	18.660	True		
149	-3.479	 16	705.556	300.542	 153	1.486	0.435	15.341	18.820	True		
149_1	-3.363	 14	981.882	314.366	 153	1.486	0.565	15.508	18.871	True		
149_2	-2.705	 8	915.432	493.468	 154	1.488	1.570	16.568	19.273	True		
149_3	-3.167	 12	553.832	535.849	 157	1.488	0.485	15.428	18.595	True		
149_4	-3.427	 16	1 087.118	699.352	 153	1.490	0.544	15.484	18.911	True		
150	-2.861	 9	542.750	281.879	 154	1.486	0.903	15.974	18.835	True		
150_1	-2.951	 10	605.423	382.172	 154	1.487	0.747	15.798	18.749	True		
150_2	-1.740	 3	976.157	419.058	 156	1.487	1.477	16.501	18.241	True		
150_3	-2.987	 10	549.045	437.353	 156	1.487	0.617	15.686	18.673	True		
150_4	-3.130	 11	891.587	464.043	 156	1.488	0.483	15.577	18.707	True		
151	-3.025	 11	962.187	257.163	 153	1.486	0.778	15.918	18.943	True		
151_1	-0.678	 1	776.143	413.516	 157	1.487	1.611	16.748	17.426	True		
151_2	-2.800	 8	687.729	430.511	 155	1.487	0.502	15.691	18.491	True		
151_3	-2.684	 8	596.506	598.079	 155	1.488	0.862	16.045	18.729	True		
151_4	-2.666	 7	743.091	753.545	 155	1.490	1.079	16.204	18.870	True		
152	-2.927	 10	904.881	348.098	 154	1.487	0.584	15.858	18.785	True		
152_1	-2.749	 7	694.073	358.401	 154	1.486	0.860	16.080	18.829	True		
152_2	-2.892	 10	885.723	376.093	 157	1.487	0.476	15.725	18.617	True		
152_3	-2.968	 10	846.583	435.799	 155	1.487	0.485	15.718	18.686	True		
152_4	-2.597	 7	632.867	551.401	 155	1.488	0.828	16.059	18.656	True		
