Primary target: NGC 7790
Exposure time: 120 s
Filter: R
Observation date/time: 2015-09-01 07:09:47
JD: 2457266.79846
Decimal date: 2015-09-01.29846
R.A.: 23:58:27.67
Dec.: 61:14:38.45
Airmass: 1.0861
Calibration: BDF
Apeture radius: 6 pixels
File name: 635772429015720000.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	R-mag	Target estimate	Active		
142	-5.505	 62	627.299	487.164	1 393	1.085	0.511	13.969	19.474	True		
142_1	-5.548	 58	883.852	614.557	1 402	1.085	0.526	13.899	19.447	True		
143_2	-5.499	 64	751.303	742.199	1 395	1.085	0.716	13.961	19.460	True		
143_3	-6.054	 94	1 064.812	750.279	1 397	1.084	1.439	13.402	19.456	True		
144	-5.454	 63	1 055.799	325.182	1 396	1.084	0.729	14.005	19.459	True		
144_1	-5.363	 56	1 138.312	668.351	1 396	1.084	0.440	14.164	19.527	True		
144_2	-5.379	 62	1 104.758	787.249	1 394	1.084	0.579	14.114	19.493	True		
145_2	-5.624	 72	1 024.597	444.065	1 398	1.084	1.213	13.820	19.444	True		
145_4	-5.218	 54	674.655	508.861	1 391	1.085	0.470	14.233	19.451	True		
145_6	-5.291	 53	930.973	557.327	1 392	1.084	0.479	14.219	19.510	True		
145_7	-5.291	 58	745.123	642.588	1 391	1.085	0.552	14.196	19.487	True		
146_5	-5.543	 60	715.271	686.914	1 396	1.085	1.324	13.906	19.449	True		
147_3	-5.022	 34	914.758	577.334	1 400	1.084	0.460	14.428	19.450	True		
148_1	-5.038	 40	734.434	579.399	1 394	1.085	0.722	14.451	19.489	True		
148_2	-5.129	 45	1 124.198	614.956	1 398	1.084	0.831	14.319	19.448	True		
148_3	-4.956	 40	908.034	753.301	1 394	1.085	0.498	14.545	19.501	True		
149_2	-5.380	 56	988.396	528.245	1 395	1.084	1.570	14.079	19.459	True		
149_4	-4.845	 36	1 160.288	733.381	1 397	1.084	0.544	14.626	19.471	True		
150	-4.908	 35	617.923	317.007	1 392	1.085	0.903	14.540	19.448	True		
150_1	-4.880	 38	680.403	417.846	1 391	1.085	0.747	14.594	19.474	True		
151	-4.795	 37	1 035.319	292.578	1 394	1.084	0.778	14.678	19.473	True		
151_3	-4.767	 35	671.014	633.023	1 394	1.085	0.862	14.681	19.448	True		
152_5	-4.776	 32	847.744	593.230	1 393	1.085	0.864	14.715	19.491	True		
153	-4.914	 39	645.175	332.190	1 393	1.085	1.459	14.521	19.435	True		
153_3	-4.611	 30	724.635	484.804	1 387	1.085	0.806	14.894	19.505	True		
153_4	-5.084	 42	984.866	609.429	1 398	1.084	1.690	14.409	19.493	True		
153_5	-5.203	 49	983.611	714.101	1 396	1.084	1.930	14.232	19.435	True		
155_2	-4.826	 36	637.883	593.423	1 386	1.085	1.538	14.696	19.522	True		
156_4	-4.615	 31	892.372	781.375	1 395	1.085	1.467	14.782	19.397	True		
