Primary target: NGC 7790
Exposure time: 120 s
Filter: R
Observation date/time: 2015-09-01 07:09:47
JD: 2457266.79846
Decimal date: 2015-09-01.29846
R.A.: 23:58:27.67
Dec.: 61:14:38.45
Airmass: 1.0861
Calibration: BDF
Apeture radius: 6 pixels
File name: 635772429015720000.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	R-mag	Target estimate	Active		
117	-7.971	 444	497.393	263.416	1 397	1.085	0.216	11.555	19.526	True		
117_1	-8.511	 638	1 112.176	727.802	1 404	1.084	1.416	10.950	19.461	True		
119	-7.819	 427	1 199.669	131.987	1 395	1.084	0.419	11.667	19.486	True		
121	-7.638	 369	923.490	445.264	1 402	1.084	0.405	11.847	19.485	True		
124	-7.439	 314	1 102.098	355.868	1 401	1.084	0.689	12.031	19.470	True		
124_1	-7.320	 294	931.452	347.971	1 399	1.084	0.537	12.175	19.495	True		
125_1	-7.808	 424	1 005.897	811.089	1 396	1.084	1.742	11.651	19.459	True		
126	-7.130	 241	977.146	422.243	1 400	1.084	0.446	12.363	19.493	True		
127_2	-6.977	 224	1 135.976	695.052	1 402	1.084	0.455	12.497	19.474	True		
128	-7.145	 245	1 042.991	805.140	1 396	1.084	0.806	12.323	19.468	True		
129	-7.235	 274	625.307	657.070	1 387	1.085	1.301	12.217	19.452	True		
130	-6.772	 156	996.388	269.117	1 394	1.084	0.663	12.702	19.474	True		
131	-6.581	 149	871.246	643.090	1 394	1.085	0.495	12.892	19.473	True		
131_1	-6.870	 214	1 021.087	926.638	1 398	1.084	0.785	12.595	19.465	True		
131_2	-7.054	 240	934.215	418.190	1 402	1.084	1.223	12.406	19.460	True		
131_3	-6.616	 152	1 175.200	507.098	1 396	1.084	0.401	12.890	19.506	True		
131_6	-7.090	 243	952.262	675.178	1 397	1.084	1.503	12.371	19.461	True		
132_2	-6.633	 150	814.492	526.109	1 401	1.085	0.692	12.833	19.466	True		
132_3	-6.469	 148	1 154.072	570.917	1 395	1.084	0.433	13.041	19.510	True		
133	-6.358	 141	1 118.195	235.948	1 400	1.084	0.380	13.069	19.427	True		
133_1	-6.476	 155	1 156.624	408.118	1 398	1.084	0.604	13.018	19.494	True		
133_3	-6.927	 221	1 019.069	700.953	1 395	1.084	1.489	12.531	19.458	True		
134	-6.252	 132	678.962	362.252	1 394	1.085	0.428	13.224	19.476	True		
134_1	-6.842	 200	1 118.114	532.011	1 394	1.084	1.487	12.617	19.459	True		
134_3	-6.849	 196	710.077	572.822	1 398	1.085	1.526	12.604	19.453	True		
135	-6.778	 199	969.536	255.016	1 394	1.084	1.519	12.680	19.458	True		
135_1	-6.338	 134	1 170.711	301.201	1 402	1.084	0.600	13.158	19.496	True		
135_2	-6.588	 152	688.364	309.353	1 393	1.085	1.149	12.877	19.465	True		
135_3	-6.772	 199	1 171.991	338.895	1 399	1.084	1.557	12.716	19.488	True		
135_4	-6.320	 129	696.909	547.181	1 394	1.085	0.816	13.152	19.472	True		
135_6	-6.144	 115	695.278	831.160	1 393	1.085	0.465	13.317	19.461	True		
136_1	-6.323	 123	786.443	477.068	1 395	1.085	0.745	13.173	19.496	True		
136_3	-6.648	 167	677.404	779.232	1 394	1.085	1.367	12.819	19.467	True		
137_2	-6.522	 154	1 005.604	654.188	1 392	1.084	1.383	12.945	19.467	True		
139_1	-5.789	 79	1 128.226	444.374	1 394	1.084	0.391	13.698	19.487	True		
140	-5.647	 67	851.024	488.959	1 398	1.085	0.417	13.822	19.469	True		
141_1	-5.986	 99	1 096.811	498.504	1 396	1.084	1.282	13.462	19.448	True		
141_2	-5.835	 81	933.590	689.433	1 400	1.085	0.806	13.666	19.501	True		
