Primary target: NGC 7790
Exposure time: 240 s
Filter: I
Observation date/time: 2015-09-01 08:01:42
JD: 2457266.83451
Decimal date: 2015-09-01.33451
R.A.: 23:58:29.33
Dec.: 61:13:08.41
Airmass: 1.0830
Calibration: BDF
Apeture radius: 6 pixels
File name: 635772429259310000.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	I-mag	Target estimate	Active		
117	-7.168	 477	1 108.023	767.525	1 244	1.083	0.216	11.392	18.560	True		
117_1	-8.233	 899	495.767	300.314	1 256	1.081	1.416	10.223	18.456	True		
119	-7.186	 485	405.550	895.568	1 250	1.081	0.419	11.323	18.509	True		
121	-6.972	 387	682.829	583.576	1 249	1.082	0.405	11.527	18.499	True		
124	-6.902	 387	503.934	672.307	1 248	1.082	0.689	11.598	18.500	True		
124_1	-6.684	 338	674.419	680.945	1 244	1.082	0.537	11.849	18.533	True		
125_1	-7.671	 669	602.643	217.360	1 253	1.082	1.742	10.775	18.446	True		
126	-6.470	 268	629.373	606.593	1 247	1.082	0.446	12.056	18.526	True		
127_2	-6.323	 246	471.843	332.727	1 249	1.081	0.455	12.157	18.480	True		
128	-6.671	 326	565.549	223.165	1 248	1.082	0.806	11.811	18.482	True		
129	-6.976	 422	982.195	373.332	1 245	1.083	1.301	11.507	18.483	True		
130	-6.188	 196	609.047	759.441	1 253	1.082	0.663	12.308	18.496	True		
131	-5.904	 179	736.303	385.971	1 248	1.082	0.495	12.549	18.453	True		
131_1	-6.367	 271	588.147	101.848	1 243	1.082	0.785	12.115	18.482	True		
131_2	-6.746	 324	672.162	610.623	1 253	1.082	1.223	11.724	18.470	True		
131_3	-5.956	 187	431.671	520.571	1 242	1.081	0.401	12.587	18.543	True		
131_6	-6.871	 373	655.437	353.517	1 250	1.082	1.503	11.578	18.449	True		
132_2	-6.089	 206	792.378	503.424	1 248	1.082	0.692	12.388	18.477	True		
132_3	-5.758	 160	453.205	456.899	1 247	1.081	0.433	12.741	18.499	True		
133	-5.678	 142	487.275	791.945	1 251	1.082	0.380	12.788	18.466	True		
133_1	-5.889	 184	449.857	619.588	1 247	1.081	0.604	12.636	18.525	True		
133_3	-6.671	 331	588.753	327.522	1 248	1.082	1.489	11.772	18.443	True		
134	-5.571	 140	927.274	667.749	1 247	1.083	0.428	12.949	18.520	True		
134_1	-6.640	 308	488.834	496.103	1 250	1.081	1.487	11.824	18.464	True		
134_3	-6.669	 334	897.042	457.317	1 249	1.082	1.526	11.784	18.453	True		
135	-6.586	 305	635.799	773.684	1 251	1.082	1.519	11.877	18.463	True		
135_1	-5.733	 157	435.380	726.458	1 247	1.081	0.600	12.770	18.503	True		
135_2	-6.165	 212	917.362	720.599	1 248	1.083	1.149	12.328	18.493	True		
135_3	-6.614	 312	434.147	688.849	1 248	1.081	1.557	11.884	18.498	True		
135_4	-5.713	 154	910.374	482.883	1 245	1.083	0.816	12.779	18.492	True		
135_6	-5.479	 126	913.349	198.770	1 243	1.082	0.465	12.984	18.463	True		
136_1	-5.786	 158	820.041	552.602	1 246	1.082	0.745	12.705	18.491	True		
136_3	-6.435	 271	930.796	250.794	1 242	1.082	1.367	12.035	18.470	True		
137_2	-6.261	 241	602.258	374.102	1 252	1.082	1.383	12.192	18.453	True		
139_1	-5.068	 89	478.256	583.405	1 249	1.082	0.391	13.422	18.490	True		
140	-4.983	 80	755.741	540.413	1 251	1.082	0.417	13.511	18.494	True		
141_1	-5.708	 153	510.041	529.380	1 245	1.082	1.282	12.771	18.479	True		
141_2	-5.303	 106	674.446	339.070	1 251	1.082	0.806	13.187	18.490	True		
142	-4.860	 70	979.412	543.137	1 247	1.083	0.511	13.623	18.483	True		
142_1	-4.985	 71	723.679	414.324	1 249	1.082	0.526	13.505	18.490	True		
143_2	-4.993	 84	856.807	287.645	1 245	1.082	0.716	13.507	18.500	True		
143_3	-5.964	 174	543.461	277.765	1 249	1.082	1.439	12.530	18.494	True		
144	-4.943	 81	550.309	702.896	1 248	1.082	0.729	13.550	18.493	True		
144_1	-4.639	 64	469.764	359.436	1 248	1.081	0.440	13.847	18.486	True		
144_2	-4.861	 79	503.866	240.748	1 242	1.081	0.579	13.689	18.550	True		
145_2	-5.293	 108	581.947	584.324	1 251	1.082	1.213	13.163	18.456	True		
145_4	-4.617	 62	932.353	521.465	1 246	1.083	0.470	13.873	18.490	True		
145_6	-4.705	 63	676.123	471.621	1 245	1.082	0.479	13.857	18.562	True		
145_7	-4.684	 65	862.444	387.473	1 243	1.082	0.552	13.807	18.491	True		
146_5	-5.280	 105	892.450	343.028	1 244	1.082	1.324	13.199	18.479	True		
147_3	-4.393	 45	692.603	451.541	1 249	1.082	0.460	14.082	18.475	True		
148_1	-4.463	 50	872.704	450.376	1 249	1.082	0.722	13.968	18.431	True		
148_2	-4.674	 63	483.395	413.273	1 247	1.081	0.831	13.807	18.481	True		
148_3	-4.328	 48	700.242	276.019	1 244	1.082	0.498	14.177	18.505	True		
149_2	-5.260	 98	618.474	500.744	1 253	1.082	1.570	13.190	18.450	True		
149_4	-4.202	 43	447.879	294.301	1 245	1.081	0.544	14.251	18.453	True		
150	-4.443	 51	988.207	712.982	1 245	1.083	0.903	14.014	18.457	True		
150_1	-4.367	 47	925.830	612.451	1 244	1.083	0.747	14.103	18.470	True		
151	-4.352	 48	570.178	735.669	1 245	1.082	0.778	14.189	18.541	True		
151_3	-4.285	 47	936.619	397.397	1 244	1.083	0.862	14.183	18.468	True		
152	-3.966	 32	627.667	645.157	1 245	1.082	0.584	14.547	18.513	True		
152_5	-4.368	 46	759.803	435.855	1 244	1.082	0.864	14.182	18.550	True		
152_6	-4.005	 32	553.557	421.656	1 246	1.082	0.561	14.511	18.516	True		
152_7	-3.998	 35	660.602	418.655	1 250	1.082	0.608	14.475	18.473	True		
153	-4.735	 70	960.836	698.184	1 245	1.083	1.459	13.694	18.429	True		
153_2	-4.168	 41	889.123	578.391	1 241	1.083	0.825	14.325	18.493	True		
153_3	-4.070	 39	882.414	545.156	1 244	1.082	0.806	14.387	18.457	True		
153_4	-5.005	 80	622.644	419.145	1 248	1.082	1.690	13.470	18.475	True		
153_5	-5.276	 110	624.522	314.416	1 246	1.082	1.930	13.193	18.469	True		
153_6	-3.757	 30	475.536	267.849	1 247	1.081	0.512	14.676	18.433	True		
154	-4.052	 35	695.089	380.749	1 246	1.082	0.690	14.408	18.460	True		
154_2	-4.203	 42	890.368	301.895	1 244	1.082	0.972	14.306	18.509	True		
155	-4.187	 44	810.506	731.634	1 243	1.082	0.945	14.334	18.521	True		
155_2	-4.569	 60	969.426	436.609	1 247	1.083	1.538	13.867	18.436	True		
156_2	-3.888	 31	551.898	649.021	1 250	1.082	0.830	14.602	18.490	True		
156_4	-4.571	 56	715.847	247.809	1 243	1.082	1.467	13.899	18.470	True		
157	-4.320	 48	959.273	654.327	1 246	1.083	1.433	14.119	18.439	True		
157_1	-4.345	 46	671.999	498.177	1 249	1.082	1.413	14.094	18.439	True		
158	-4.436	 53	846.085	366.502	1 244	1.082	1.558	14.036	18.472	True		
159	-4.670	 61	577.126	708.608	1 245	1.082	1.811	13.813	18.483	True		
