Primary target: NGC 7790
Exposure time: 120 s
Filter: V
Observation date/time: 2015-09-01 07:51:04
JD: 2457266.82713
Decimal date: 2015-09-01.32713
R.A.: 23:58:29.60
Dec.: 61:13:05.07
Airmass: 1.0815
Calibration: BDF
Apeture radius: 6 pixels
File name: 635772429409530000.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	V-mag	Target estimate	Active		
117	-7.614	 404	1 110.472	768.876	 974	1.082	0.216	11.659	19.273	True		
117_1	-7.521	 379	499.595	302.147	 982	1.080	1.416	11.713	19.234	True		
119	-7.306	 333	409.078	896.632	 973	1.080	0.419	11.944	19.250	True		
121	-7.110	 275	686.400	585.039	 978	1.081	0.405	12.117	19.227	True		
124	-6.784	 225	507.617	673.618	 976	1.080	0.689	12.452	19.236	True		
124_1	-6.753	 217	677.766	682.314	 973	1.081	0.537	12.488	19.241	True		
125_1	-6.635	 199	606.039	219.511	 981	1.080	1.742	12.591	19.226	True		
126	-6.617	 184	632.660	607.802	 981	1.081	0.446	12.617	19.234	True		
127_2	-6.461	 173	475.340	334.716	 977	1.080	0.455	12.769	19.230	True		
128	-6.419	 163	568.995	225.064	 975	1.080	0.806	12.806	19.225	True		
129	-6.317	 155	985.418	375.125	 972	1.081	1.301	12.951	19.268	True		
130	-6.132	 125	612.303	760.741	 976	1.081	0.663	13.094	19.226	True		
131	-6.043	 123	739.601	387.868	 976	1.081	0.495	13.172	19.215	True		
131_1	-6.181	 140	591.661	104.030	 980	1.080	0.785	13.064	19.245	True		
131_2	-6.124	 129	675.562	612.072	 980	1.081	1.223	13.104	19.228	True		
131_3	-6.090	 128	435.538	522.113	 980	1.080	0.401	13.141	19.231	True		
131_6	-6.059	 121	658.852	355.315	 979	1.081	1.503	13.195	19.254	True		
132_2	-5.987	 112	795.591	505.038	 976	1.081	0.692	13.254	19.241	True		
132_3	-5.940	 116	456.816	458.681	 975	1.080	0.433	13.281	19.221	True		
133	-5.878	 111	490.798	793.091	 974	1.080	0.380	13.335	19.213	True		
133_1	-5.881	 108	453.692	621.022	 974	1.080	0.604	13.381	19.262	True		
133_3	-5.886	 108	592.167	329.536	 979	1.080	1.489	13.336	19.222	True		
134	-5.773	 97	930.332	669.167	 972	1.081	0.428	13.462	19.235	True		
134_1	-5.777	 97	492.248	497.745	 977	1.080	1.487	13.440	19.217	True		
134_3	-5.809	 102	900.335	458.994	 972	1.081	1.526	13.447	19.256	True		
135	-5.730	 95	639.485	774.917	 974	1.081	1.519	13.523	19.253	True		
135_1	-5.711	 94	438.924	727.718	 979	1.080	0.600	13.517	19.228	True		
135_2	-5.714	 92	920.148	722.009	 972	1.081	1.149	13.563	19.277	True		
135_3	-5.674	 92	437.792	690.147	 978	1.080	1.557	13.584	19.258	True		
135_4	-5.718	 92	913.429	484.671	 972	1.081	0.816	13.542	19.260	True		
135_6	-5.657	 89	916.499	200.890	 974	1.081	0.465	13.582	19.239	True		
136_1	-5.620	 84	823.470	554.136	 975	1.081	0.745	13.621	19.241	True		
136_3	-5.588	 80	933.805	252.927	 974	1.081	1.367	13.683	19.271	True		
137_2	-5.533	 79	605.754	376.103	 977	1.080	1.383	13.721	19.254	True		
139_1	-5.286	 63	481.592	584.939	 975	1.080	0.391	13.949	19.235	True		
140	-5.109	 54	758.957	541.942	 976	1.081	0.417	14.083	19.192	True		
141_1	-5.057	 52	513.755	530.974	 974	1.080	1.282	14.191	19.248	True		
141_2	-5.096	 54	677.421	341.318	 979	1.081	0.806	14.136	19.232	True		
142	-4.984	 48	982.193	544.895	 972	1.081	0.511	14.262	19.246	True		
142_1	-4.963	 45	726.892	416.048	 977	1.081	0.526	14.246	19.209	True		
143_2	-4.913	 46	859.789	289.741	 974	1.081	0.716	14.396	19.309	True		
143_3	-4.901	 41	546.942	279.844	 981	1.080	1.439	14.320	19.221	True		
144	-4.755	 39	553.767	704.168	 978	1.080	0.729	14.438	19.193	True		
144_1	-4.898	 45	473.645	361.130	 974	1.080	0.440	14.418	19.316	True		
144_2	-4.776	 43	507.150	242.676	 976	1.080	0.579	14.476	19.252	True		
145_2	-4.730	 39	585.623	585.917	 977	1.080	1.213	14.507	19.237	True		
145_4	-4.694	 39	935.601	523.323	 974	1.081	0.470	14.534	19.228	True		
145_6	-4.711	 38	679.212	473.069	 974	1.081	0.479	14.525	19.236	True		
145_7	-4.716	 39	865.649	389.252	 974	1.081	0.552	14.514	19.230	True		
146_5	-4.576	 33	895.602	345.306	 975	1.081	1.324	14.645	19.221	True		
148_3	-4.499	 32	703.285	278.375	 972	1.081	0.498	14.854	19.353	True		
