Primary target: NGC 7790
Exposure time: 300 s
Filter: B
Observation date/time: 2015-09-01 06:55:41
JD: 2457266.78867
Decimal date: 2015-09-01.28867
R.A.: 23:58:27.78
Dec.: 61:14:24.05
Airmass: 1.0905
Calibration: BDF
Apeture radius: 6 pixels
File name: 635772428822400000.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	B-mag	Target estimate	Active		
112	-6.200	 290	1 357.129	210.806	1 023	1.088	0.739	11.950	18.150	True		
117	-6.268	 286	484.086	261.846	1 024	1.090	0.216	11.875	18.143	True		
117_1	-5.112	 121	1 100.126	727.182	1 026	1.089	1.416	13.129	18.241	True		
119	-5.766	 204	1 188.108	129.944	1 025	1.088	0.419	12.363	18.129	True		
121	-5.596	 179	911.804	444.117	1 026	1.089	0.405	12.522	18.118	True		
124	-5.018	 111	1 090.738	354.592	1 028	1.088	0.689	13.141	18.159	True		
124_1	-5.116	 118	919.769	346.601	1 025	1.089	0.537	13.025	18.141	True		
125_1	-3.902	 43	993.783	810.939	1 027	1.089	1.742	14.333	18.235	True		
126	-5.068	 113	965.177	421.214	1 031	1.089	0.446	13.063	18.131	True		
127_2	-4.948	 108	1 124.108	694.705	1 021	1.089	0.455	13.224	18.172	True		
128	-4.496	 70	1 030.987	805.051	1 030	1.089	0.806	13.612	18.108	True		
129	-3.941	 45	612.046	656.713	1 022	1.090	1.301	14.252	18.193	True		
130	-4.382	 64	984.890	267.420	1 026	1.089	0.663	13.757	18.139	True		
131	-4.432	 66	859.499	642.594	1 025	1.089	0.495	13.667	18.099	True		
131_1	-4.303	 60	1 008.953	926.700	1 025	1.089	0.785	13.849	18.152	True		
131_2	-3.833	 40	922.081	417.146	1 030	1.089	1.223	14.327	18.160	True		
131_3	-4.586	 78	1 163.895	506.094	1 028	1.088	0.401	13.542	18.128	True		
131_6	-3.481	 30	940.017	674.659	1 025	1.089	1.503	14.698	18.179	True		
132_2	-4.225	 52	802.075	525.099	1 026	1.089	0.692	13.946	18.171	True		
132_3	-4.465	 71	1 142.183	569.965	1 026	1.089	0.433	13.714	18.179	True		
133	-4.352	 62	1 106.960	234.155	1 032	1.088	0.380	13.715	18.067	True		
133_1	-4.200	 54	1 145.040	407.021	1 028	1.088	0.604	13.985	18.185	True		
134	-4.238	 57	666.109	360.917	1 027	1.089	0.428	13.890	18.128	True		
135_1	-4.029	 49	1 159.054	299.809	1 030	1.088	0.600	14.117	18.146	True		
135_4	-3.805	 39	684.007	546.135	1 024	1.090	0.816	14.358	18.163	True		
135_6	-4.088	 53	682.747	831.014	1 020	1.090	0.465	14.047	18.135	True		
136_1	-3.687	 37	774.008	475.921	1 030	1.089	0.745	14.366	18.053	True		
139_1	-3.794	 40	1 116.879	443.178	1 027	1.088	0.391	14.340	18.134	True		
153	-4.615	 86	633.151	330.959	1 025	1.089	1.459	16.819	21.434	True		
