Primary target: NGC 7790
Exposure time: 120 s
Filter: BLUE
Observation date/time: 2015-09-01 07:23:29
JD: 2457266.80797
Decimal date: 2015-09-01.30797
R.A.: 23:58:27.27
Dec.: 61:14:42.75
Airmass: 1.0832
Calibration: BDF
Apeture radius: 6 pixels
File name: 635772428884460000.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	BLUE-mag	Target estimate	Active		
112	-7.303	 359	1 371.525	214.880	 689	1.080	0.739	0.000	7.303	True		
117	-7.227	 346	501.242	266.249	 694	1.083	0.216	0.000	7.227	True		
117_1	-6.354	 180	1 115.524	729.988	 692	1.081	1.416	0.000	6.354	True		
119	-6.763	 251	1 203.206	134.330	 691	1.081	0.419	0.000	6.763	True		
121	-6.600	 218	927.262	447.740	 689	1.082	0.405	0.000	6.600	True		
124	-6.068	 146	1 105.517	358.267	 691	1.081	0.689	0.000	6.068	True		
124_1	-6.141	 151	935.020	350.363	 690	1.082	0.537	0.000	6.141	True		
125_1	-5.255	 70	1 009.296	813.268	 691	1.082	1.742	0.000	5.255	True		
126	-6.092	 146	980.759	425.001	 692	1.081	0.446	0.000	6.092	True		
127_2	-5.919	 128	1 139.424	697.321	 691	1.081	0.455	0.000	5.919	True		
128	-5.636	 96	1 046.424	807.599	 690	1.081	0.806	0.000	5.636	True		
129	-5.186	 66	629.188	659.764	 686	1.082	1.301	0.000	5.186	True		
130	-5.431	 84	1 000.070	271.585	 693	1.081	0.663	0.000	5.431	True		
131	-5.492	 89	874.784	645.625	 689	1.082	0.495	0.000	5.492	True		
131_1	-5.430	 86	1 024.838	928.547	 689	1.082	0.785	0.000	5.430	True		
131_2	-5.049	 61	937.633	420.914	 691	1.082	1.223	0.000	5.049	True		
131_3	-5.595	 94	1 178.873	509.434	 690	1.081	0.401	0.000	5.595	True		
131_6	-4.770	 47	955.953	677.529	 691	1.082	1.503	0.000	4.770	True		
132_2	-5.277	 73	818.287	528.478	 692	1.082	0.692	0.000	5.277	True		
132_3	-5.432	 90	1 157.539	573.140	 689	1.081	0.433	0.000	5.432	True		
133	-5.366	 82	1 121.855	238.374	 692	1.081	0.380	0.000	5.366	True		
133_1	-5.229	 71	1 159.966	410.535	 690	1.081	0.604	0.000	5.229	True		
133_3	-4.652	 44	1 022.675	703.158	 690	1.081	1.489	0.000	4.652	True		
134	-5.215	 72	682.740	364.835	 690	1.082	0.428	0.000	5.215	True		
134_1	-4.570	 41	1 121.494	534.294	 688	1.081	1.487	0.000	4.570	True		
134_3	-4.454	 36	713.813	575.133	 691	1.082	1.526	0.000	4.454	True		
135	-4.514	 39	972.945	257.851	 688	1.081	1.519	0.000	4.514	True		
135_1	-5.086	 63	1 174.029	303.646	 693	1.081	0.600	0.000	5.086	True		
135_2	-4.727	 45	691.923	312.251	 688	1.082	1.149	0.000	4.727	True		
135_3	-4.412	 36	1 175.226	341.282	 691	1.081	1.557	0.000	4.412	True		
135_4	-4.915	 51	700.720	549.661	 687	1.082	0.816	0.000	4.915	True		
135_6	-5.123	 66	699.179	833.517	 686	1.082	0.465	0.000	5.123	True		
136_1	-4.855	 52	790.267	479.539	 689	1.082	0.745	0.000	4.855	True		
136_3	-4.444	 36	681.336	781.829	 689	1.082	1.367	0.000	4.444	True		
137_2	-4.331	 32	1 008.904	656.773	 691	1.081	1.383	0.000	4.331	True		
139_1	-4.780	 48	1 131.670	446.954	 692	1.081	0.391	0.000	4.780	True		
140	-4.595	 40	854.629	491.400	 693	1.082	0.417	0.000	4.595	True		
142	-4.361	 32	631.092	489.691	 689	1.082	0.511	0.000	4.361	True		
142_1	-4.388	 34	887.373	617.251	 690	1.082	0.526	0.000	4.388	True		
144_1	-4.273	 32	1 141.415	670.879	 690	1.081	0.440	0.000	4.273	True		
