Primary target: NGC 7790
Exposure time: 60 s
Filter: R
Observation date/time: 2015-08-25 03:31:26
JD: 2457259.64683
Decimal date: 2015-08-25.14683
R.A.: 23:58:33.54
Dec.: 61:13:13.49
Airmass: 1.4651
Calibration: BDF
Apeture radius: 5 pixels
File name: 635764995800563984.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	R-mag	Target estimate	Active		
145_3	-5.406	 61	905.891	430.655	 314	1.460	0.442	14.300	19.706	True		
145_4	-5.432	 68	600.526	470.795	 312	1.460	0.470	14.233	19.665	True		
145_5	-5.911	 85	798.792	512.139	 317	1.460	1.496	13.704	19.615	True		
145_6	-5.450	 67	856.995	519.643	 314	1.461	0.479	14.219	19.669	True		
145_7	-5.496	 75	670.802	604.837	 313	1.461	0.552	14.196	19.692	True		
146	-5.477	 67	564.157	405.598	 313	1.459	0.805	14.192	19.669	True		
146_1	-5.813	 75	748.029	407.729	 319	1.460	1.434	13.814	19.627	True		
146_2	-5.340	 58	802.016	410.782	 313	1.460	0.435	14.377	19.717	True		
146_3	-5.600	 73	973.769	429.800	 314	1.460	0.973	14.076	19.676	True		
146_4	-5.406	 51	812.746	499.809	 316	1.460	0.439	14.324	19.730	True		
146_5	-5.723	 81	641.078	649.070	 314	1.462	1.324	13.906	19.629	True		
147	-5.614	 78	733.809	395.713	 315	1.459	1.294	14.018	19.632	True		
147_1	-5.240	 57	990.104	431.955	 314	1.460	0.530	14.438	19.678	True		
147_2	-5.408	 48	818.798	454.211	 316	1.460	0.839	14.226	19.634	True		
147_3	-5.284	 55	840.911	539.678	 313	1.461	0.460	14.428	19.712	True		
147_4	-5.802	 85	736.592	767.795	 315	1.463	1.626	13.849	19.651	True		
148	-5.290	 51	700.311	346.652	 316	1.459	0.707	14.397	19.687	True		
148_1	-5.225	 56	660.135	541.779	 315	1.461	0.722	14.451	19.676	True		
148_2	-5.369	 63	1 050.820	577.138	 313	1.461	0.831	14.319	19.688	True		
148_3	-5.108	 51	833.861	715.725	 312	1.462	0.498	14.545	19.653	True		
149	-5.115	 51	705.164	297.891	 315	1.459	0.435	14.615	19.730	True		
149_1	-5.114	 52	982.034	311.802	 314	1.459	0.565	14.590	19.704	True		
149_2	-5.608	 75	914.593	489.890	 312	1.460	1.570	14.079	19.687	True		
149_3	-5.034	 46	554.525	533.126	 314	1.460	0.485	14.638	19.672	True		
149_4	-5.076	 50	1 086.604	695.961	 313	1.462	0.544	14.626	19.702	True		
150	-5.133	 53	543.120	279.141	 311	1.458	0.903	14.540	19.673	True		
150_1	-5.037	 46	606.119	379.588	 314	1.459	0.747	14.594	19.631	True		
150_2	-5.459	 63	975.047	416.536	 315	1.460	1.477	14.179	19.638	True		
150_3	-4.966	 42	549.784	434.085	 315	1.460	0.617	14.694	19.660	True		
150_4	-4.834	 37	890.958	460.900	 316	1.460	0.483	14.801	19.635	True		
151	-5.032	 49	962.180	254.739	 313	1.458	0.778	14.678	19.710	True		
151_1	-5.450	 43	775.929	410.106	 315	1.460	1.611	14.244	19.694	True		
151_2	-4.757	 34	688.652	427.807	 314	1.460	0.502	14.889	19.646	True		
151_3	-4.973	 45	596.680	595.065	 315	1.461	0.862	14.681	19.654	True		
151_4	-5.101	 46	742.831	749.720	 317	1.462	1.079	14.506	19.607	True		
152	-4.686	 35	905.096	345.999	 315	1.459	0.584	14.942	19.628	True		
152_1	-4.941	 40	693.343	355.657	 318	1.459	0.860	14.686	19.627	True		
152_2	-4.698	 35	885.846	373.514	 314	1.459	0.476	14.961	19.659	True		
152_3	-4.787	 36	846.755	432.777	 313	1.460	0.485	14.924	19.711	True		
152_4	-4.939	 43	633.811	548.484	 313	1.461	0.828	14.736	19.675	True		
152_5	-4.908	 41	773.689	555.690	 316	1.461	0.864	14.715	19.623	True		
152_6	-4.726	 36	980.768	569.041	 315	1.461	0.561	14.924	19.650	True		
152_7	-4.731	 36	872.894	572.352	 314	1.461	0.608	14.911	19.642	True		
152_8	-4.644	 33	989.783	692.563	 313	1.462	0.513	14.994	19.638	True		
153	-5.141	 55	570.818	293.931	 311	1.458	1.459	14.521	19.662	True		
153_1	-5.111	 50	546.683	371.366	 315	1.459	1.146	14.555	19.666	True		
153_2	-4.781	 40	642.985	413.445	 315	1.460	0.825	14.855	19.636	True		
153_3	-4.787	 39	649.975	446.980	 312	1.460	0.806	14.894	19.681	True		
153_4	-5.244	 56	910.831	571.931	 314	1.461	1.690	14.409	19.653	True		
153_5	-5.406	 65	909.672	676.765	 315	1.462	1.930	14.232	19.638	True		
153_6	-4.655	 36	1 059.216	722.889	 314	1.462	0.512	15.021	19.676	True		
154	-4.458	 30	1 017.618	533.592	 316	1.461	0.522	15.141	19.599	True		
154_1	-4.689	 34	838.660	610.748	 315	1.461	0.690	14.932	19.621	True		
154_2	-5.067	 41	1 022.945	689.694	 314	1.462	1.531	14.593	19.660	True		
154_3	-4.862	 41	643.771	690.540	 313	1.462	0.972	14.872	19.734	True		
155	-4.765	 38	721.097	259.730	 312	1.458	0.945	14.931	19.696	True		
155_1	-5.003	 47	770.977	272.978	 313	1.458	1.466	14.637	19.640	True		
155_2	-4.428	 28	933.819	367.546	 314	1.459	0.531	15.264	19.692	True		
155_3	-5.000	 47	563.227	556.003	 312	1.461	1.538	14.696	19.696	True		
155_4	-4.331	 25	723.557	650.581	 315	1.462	0.519	15.281	19.612	True		
155_5	-4.473	 28	966.104	778.935	 315	1.463	0.553	15.260	19.733	True		
156	-5.032	 47	779.128	256.713	 315	1.458	1.802	14.608	19.640	True		
156_1	-4.423	 26	622.186	261.736	 315	1.458	0.843	15.148	19.571	True		
156_2	-4.500	 29	1 049.211	328.949	 315	1.459	0.859	15.138	19.638	True		
156_3	-4.576	 32	980.918	341.548	 312	1.459	0.830	15.126	19.702	True		
156_4	-4.403	 26	1 020.977	352.290	 314	1.459	0.614	15.325	19.728	True		
156_5	-4.380	 24	659.705	376.217	 313	1.459	0.542	15.354	19.734	True		
156_6	-4.338	 23	843.829	503.591	 316	1.460	0.555	15.311	19.649	True		
156_7	-4.371	 28	885.939	602.656	 313	1.461	0.545	15.289	19.660	True		
156_8	-5.006	 44	855.850	673.768	 315	1.462	1.870	14.590	19.596	True		
156_9	-4.858	 42	818.239	743.904	 313	1.462	1.467	14.782	19.640	True		
157	-4.493	 29	658.093	270.631	 312	1.458	0.873	15.178	19.671	True		
157_1	-4.692	 37	572.642	337.880	 312	1.459	1.433	14.955	19.647	True		
157_10	-4.394	 29	828.739	650.440	 312	1.462	0.709	15.288	19.682	True		
157_11	-4.698	 32	752.684	773.744	 313	1.463	1.402	14.987	19.685	True		
157_2	-4.349	 27	663.843	395.461	 313	1.459	0.742	15.343	19.692	True		
157_3	-4.760	 38	860.857	493.123	 315	1.460	1.413	14.859	19.619	True		
157_4	-4.341	 25	928.739	505.968	 317	1.461	0.803	15.239	19.580	True		
157_5	-4.567	 25	792.026	518.280	 315	1.461	0.957	15.119	19.686	True		
157_6	-4.143	 21	751.386	545.394	 316	1.461	0.566	15.443	19.586	True		
157_7	-4.370	 25	633.778	604.716	 311	1.461	0.722	15.331	19.701	True		
157_8	-4.486	 30	853.257	631.724	 313	1.462	0.999	15.193	19.679	True		
157_9	-4.427	 26	559.058	641.716	 312	1.461	0.869	15.272	19.699	True		
158	-4.525	 30	885.689	326.846	 311	1.459	1.074	15.218	19.743	True		
158_1	-4.298	 23	838.835	437.510	 314	1.460	0.711	15.363	19.661	True		
158_2	-4.236	 24	599.511	494.285	 311	1.460	0.623	15.518	19.754	True		
158_3	-4.142	 21	952.125	531.663	 315	1.461	0.541	15.479	19.621	True		
158_4	-4.761	 38	687.075	625.734	 314	1.461	1.558	14.926	19.687	True		
158_5	-4.420	 30	1 027.838	632.652	 315	1.462	0.954	15.261	19.681	True		
158_6	-4.367	 27	740.114	637.331	 314	1.461	0.888	15.274	19.641	True		
158_7	-4.529	 29	948.627	684.826	 313	1.462	1.211	15.189	19.718	True		
159	-4.833	 40	954.931	281.647	 314	1.459	1.811	14.848	19.681	True		
159_1	-4.099	 19	690.175	372.182	 313	1.459	0.771	15.515	19.614	True		
159_2	-4.340	 24	1 102.085	455.540	 311	1.460	0.912	15.412	19.752	True		
159_3	-4.167	 21	753.137	457.571	 314	1.460	0.776	15.508	19.675	True		
159_4	-4.186	 21	914.841	560.046	 314	1.461	0.730	15.514	19.700	True		
159_5	-4.201	 21	933.678	576.775	 315	1.461	0.831	15.452	19.653	True		
159_6	-4.143	 22	855.610	589.775	 315	1.461	0.715	15.507	19.650	True		
159_7	-4.104	 21	760.362	599.695	 313	1.461	0.566	15.570	19.674	True		
159_8	-4.364	 27	845.977	774.552	 312	1.463	0.994	15.345	19.709	True		
